"ID","Not regional","Alsek","Chilkat_R","Copper_R","E_Vancouver_Is","Haida_Gwaii","Juan_de_Fuca","Kamchatka","King_Salmon_R","Low_Fraser_R","Low_Skeena_R","Low_Thompson_R","Mid_Fraser_R","Mid_Up_Yukon","N/Cent_BC_Cst","N_AK_Peninsula","N_Gulf_AK","N_Puget_Sound","N_Thompson_R","Nass_R","NSE_AK","S_BC_Cst","S_Puget_Sound","S_Thompson_R","Situk_R","SSE_AK","Stikine_R","Taku_R","Up_Fraser_R","Up_Skeena_R","W_AK_Cst","W_Vancouver_Is","WA_Cst"
"90839-464",0.7849,0.0010755,6.453e-05,0.00062379,0,0,0,0.00062379,2.151e-05,0,0.00019359,0,0,0.00010755,2.151e-05,0.00040869,0.00144117,0,0,0.00221553,0.00066681,0,0,0,8.604e-05,0.01645515,0.1862766,0.00066681,0,0.00154872,0.00260271,0,0
"90839-466",0.9891,2.943e-05,1.09e-06,1.526e-05,0,0,0,0,3.706e-05,0,1.635e-05,2.18e-06,0,2.18e-06,9.81e-06,1.199e-05,4.578e-05,0,0,4.36e-06,0.00011227,2.18e-06,0,0,4.142e-05,0.00087091,0.0094721,6.431e-05,0,3.379e-05,0.00012753,0,0
"90839-467",0.2517,0.00366667,0,0.00508844,0,0,0,0,0,0,7.483e-05,0,0,0.00284354,0,0.0044898,0.00703402,0,0,0.00112245,0.00187075,0,0,0,0.00067347,0.04699324,0.64690535,0.00059864,0,0.00044898,0.02648982,0,0
"90839-468",0.9988,1.56e-05,0,5.628e-05,0,0,0,4.8e-07,0,0,1.2e-07,0,1.2e-07,0,0,4.2e-06,1.932e-05,0,0,2.4e-07,1.56e-06,0,0,0,1.164e-05,5.448e-05,0.00101616,1.68e-06,0,6e-07,1.752e-05,0,0
"90839-469",0.9999,7.6e-07,8e-08,6.4e-07,0,0,0,2.08e-06,0,0,0,1e-08,0,0,0,5.8e-07,4.8e-07,0,0,0,6.9e-07,0,0,0,4.8e-07,6.92e-06,8.593e-05,1.1e-07,0,1.2e-07,1.12e-06,0,0
"90839-470",0.995,2e-06,0,4.1e-05,0,0,0,1.1e-05,0,0,1.5e-06,0,5e-07,5e-07,5e-07,8e-05,6.6e-05,0,0,1.5e-06,1.55e-05,0,0,0,1e-05,0.0003865,0.0043175,1.5e-06,0,6e-06,5.85e-05,0,0
"90839-471",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-472",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-473",0.3742,0.0037548,0,0.02590812,0,0,0,0.0003129,0,0,0,0,0,6.258e-05,0,0.00669606,0.00387996,0,0,0.00037548,0.0003129,0,0,0,0.00025032,0.03510738,0.53687382,0.00112644,0,0.00018774,0.0109515,0,0
"90839-474",0.9967,0,0,0,3.3e-07,0,2.64e-06,0,0,0,0,0,0,0,0,0,0,0.00061941,0,0,0,0,0.00267597,3.3e-07,0,0,0,0,0,0,0,0,1.32e-06
"90839-475",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-476",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-477",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-478",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-479",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-480",0.7874,0,0,0,2.126e-05,0,0.0001063,0,0,2.126e-05,0,0,0,0,0,0,0,0.02087732,0,0,0,0,0.19146756,0,0,0,0,0,0,0,0,0,0.0001063
"90839-481",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-482",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-483",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-484",0.0669999999999999,0,0,0,9.33e-05,0,0.0005598,0,0,0,0,0,0,0,0,0,0,0.0364803,0,0,0,9.33e-05,0.89568,0,0,0,0,0,0,0,0,0,9.33e-05
"90839-485",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-486",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-487",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-488",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-489",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-490",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-492",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-493",0.9995,0,0,0,5e-08,0,3e-07,0,0,0,0,0,0,0,0,0,0,7.585e-05,0,0,0,0,0.0004235,0,0,0,0,0,0,0,0,0,3e-07
"90839-494",0.9991,0,0,0,1.8e-07,0,4.5e-07,0,0,0,0,0,0,0,0,0,0,0.00011043,0,0,0,0,0.00078822,0,0,0,0,0,0,0,0,0,7.2e-07
"90839-496",0.9998,0,0,0,2e-08,0,2.6e-07,0,0,0,0,0,0,0,0,0,0,1.378e-05,0,0,0,2e-08,0.00018588,0,0,0,0,0,0,0,0,0,4e-08
"90839-497",0.9963,0,0,0,3.7e-07,0,7.4e-06,0,0,0,0,0,0,0,0,0,0,0.00029933,0,0,0,0,0.00339142,3.7e-07,0,0,0,0,0,0,0,0,1.11e-06
"90839-498",0.9998,0,0,0,2e-08,0,3.7e-06,0,0,0,0,0,0,0,0,0,0,2.484e-05,0,0,0,0,0.00017136,0,0,2e-08,2e-08,0,0,0,0,0,4e-08
"90839-499",0.9878,0,0,0,1.22e-06,0,1.83e-05,0,0,0,0,0,0,0,0,0,0,0.0013847,0,0,0,0,0.01077382,0,0,0,1.22e-06,0,0,0,0,0,2.074e-05
"90839-500",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-501",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-502",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-503",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
